LOCODE,NAME,STATE
AOU,Avalon,CA
AVS,Avalon,GA
AVB,Avalon,TX
XBK,Avard,OK
AL9,Avenal,CA
AVE,Avenel,NJ
AVW,"Avenel/Washington, D.C.",MD
AVU,Aventura,FL
AV9,Averill Park,NY
A3V,Avery,CA
AVT,Avery,TX
AYB,Avery Hill,IL
AVI,Avery Island,LA
ALQ,Avilla,IN
AWJ,Avinger,TX
VOC,Avoca,IA
2AV,Avoca,NY
AOC,Avoca,PA
AA3,Avoca,WI
ANW,Avon,CO
AVZ,Avon,CT
VON,Avon,IL
VAO,Avon,IN
AVY,Avon,KY
AVN,Avon,MA
AVF,Avon,MN
ZVO,Avon,NC
AVV,Avon,NY
AVQ,Avon,OH
AVC,Avon Lake,ME
AVK,Avon Lake,OH
AVO,Avon Park,FL
AVH,Avon-by-the-Sea,NJ
AVG,Avondale,AZ
AJW,Avondale,CO
AVD,Avondale,LA
AFB,Avondale,PA
AVM,Avonmore,PA
AWW,Awendaw,SC
AXS,Axis,AL
AX3,Axson,GA
AX4,Axtell,NE
VXT,Axtell,UT
AXO,Axton,VA
YEN,Ayden,NC
AER,Ayer,MA
AYR,Ayersville,GA
AYT,Aylett,VA
AY2,Aynor,SC
ZKK,Azalea Park,FL
AZL,Azle,TX
ZZT,Aztec,NM
AZU,Azusa,CA
2BB,Babbitt,MN
BAK,Babcock,WI
BBY,Babylon,NY
BF9,Bacliff,TX
BQV,Bacova,VA
BAA,Bad Axe,MI
BAE,Baden,PA
BAN,Badin,NC
BGT,Bagdad,AZ
BAG,Bagdad,PA
XAG,Bagley,IA
GAJ,Bagley,MN
YB2,Bailey,CO
BAI,Bailey,MI
BA4,Bailey,NC
EYI,Bailey Island,ME
YBQ,Baileyton,AL
ILY,Baileyville,ME
BGE,Bainbridge,GA
BCA,Bainbridge,NY
B8G,Bainbridge,OH
B9G,Bainbridge,PA
BII,Bainbridge Island,WA
BJ2,Bairdsville,NJ
NGH,Baiting Hollow,NY
BA5,Baker,CA
BKG,Baker,FL
BKM,Baker,LA
BK3,Baker,MT
BKE,Baker,OR
BK4,Baker City,OH
BAR,Baker Island,AK
BFL,Bakersfield,CA
BKP,Bakerstown,PA
BE9,Bakersville,NC
KRS,Bakersville,OH
QBZ,Bakewell,TN
FL8,Bal Harbour,FL
B5C,Bala-Cynwyd,PA
ZBC,Bala-Cynwyd,PA
BAZ,Balboa,CA
BPN,Balch Springs,TX
ZBB,Bald Knob,AR
BAX,Baldwin,FL
BBJ,Baldwin,GA
ZBN,Baldwin,IL
LDK,Baldwin,LA
AWI,Baldwin,MI
BZQ,Baldwin,ND
BAD,Baldwin,NY
BAQ,Baldwin,SC
ZBW,Baldwin,WI
BZI,Baldwin City,KS
BWP,Baldwin Park,CA
BDV,Baldwinsville,NY
AWV,Baldwinville,MA
BWU,Baldwyn,MS
BAW,Balfour,NC
QAK,Balko,OK
BA9,Ball,LA
BBN,Ball Ground,GA
QLL,Ballard,CA
AFY,Ballard/Seattle,WA
GXD,Ballground,MS
B5A,Ballico,CA
BLR,Ballinger,TX
BZK,Ballouville,CT
2BY,Ballston Lake,NY
BQY,Ballston Spa,NY
BLL,Ballwin,MO
BLY,Bally,PA
XBS,Balmat,NY
BA7,Balmorhea,TX
9BK,Balsam Lake,WI
QBM,Baltic,CT
QBC,Baltic,OH
BAL,Baltimore,MD
Z2A,Baltimore,NY
BZB,Baltimore,OH
BWI,Baltimore-Washington Int Apt,MD
BBM,Bamberg,SC
RT2,Bancroft,IA
XRF,Bancroft,ID
FBT,Bancroft,MI
JNF,Bancroft,WI
ZGM,Bandera,TX
BDY,Bandon,OR
BGR,Bangor,ME
BNQ,Bangor,MI
QGR,Bangor,PA
BG2,Bangor,WI
NKS,Banks,OR
BE2,Banner Elk,NC
BNG,Banning,CA
IBI,Bannister,MI
BNN,Bannockburn,IL
YBM,Bantam,CT
BHB,Bar Harbor,ME
RNI,Bar Nunn,WY
XBQ,Baraboo,WI
RGA,Baraga,MI
BNF,Baranof,AK
NAX,Barbers Point (Oahu),HI
BAT,Barberton,OH
BBT,Barbours Cut,TX
RUX,Barboursville,VA
BAB,Barboursville,WV
BBZ,Barbourville,KY
BFK,Barclay,MD
XCV,Bardstown,KY
BK9,Barker,NY
B9K,Barker,TX
VQL,Barkeyville,PA
BH5,Barkhamsted,CT
ZA2,Barling,AR
KB5,Barlow,KY
BAO,Barlow,OH
VL3,Barnardsville,NC
BG7,Barnegat,NJ
BAV,Barnesville,GA
B7N,Barnesville,MN
BZC,Barnesville,OH
BV3,Barnesville,PA
BJR,Barnet,VT
VDX,Barneveld,WI
BHT,Barnhart,MO
UVB,Barnsdall,OK
BA8,Barnstead,NH
B3R,Barnum,MN
BNL,Barnwell,SC
BJE,Barre,MA
VBR,Barre,VT
BJA,Barree,PA
MPV,Barre-Montpelier Apt,VT
BRQ,Barrington,IL
QRG,Barrington,NH
BRN,Barrington,NJ
BRZ,Barrington,RI
YRR,Barron,WI
BRW,Barrow,AK
YRB,Barry,IL
BZW,Barstow,CA
BTI,Barter Island,AK
BVO,Bartlesville,OK
BIJ,Bartlett,IL
BA2,Bartlett,NE
ZLB,Bartlett,NH
BBP,Bartlett,TN
XTX,Bartlett,TX
BSP,Bartlett Springs,CA
BSZ,Bartletts,AK
JBA,Barto,PA
AQT,Barton,AL
OBN,Barton,AR
BCJ,Bartonville,IL
XB3,Bartonville,TX
BOW,Bartow,FL
ABO,Bartow,GA
YTJ,Bartow,WV
KBW,Barwick,GA
ZBS,Basalt,CO
B4A,Basco,IL
BSC,Bascom,OH
XBR,Basin,WY
BBS,Basin City,WA
QBA,Baskin,LA
BSK,Basking Ridge,NJ
BAC,Bassett,CA
BSS,Bassett,VA
BD4,Bassfield,MS
BCP,Bastian,VA
BAS,Bastrop,LA
ZBP,Bastrop,TX
BTA,Batavia,IL
BIA,Batavia,NY
BUX,Batavia,OH
BC9,Batchelor,LA
B3C,Bates City,MO
BBG,Batesburg,SC
BTS,Batesville,AR
HLB,Batesville,IN
BVZ,Batesville,MS
8BT,Batesville,TX
BTH,Bath,ME
JAH,Bath,MI
AFH,Bath,NC
QBH,Bath,NH
ATH,Bath,NY
BQH,Bath,PA
XBP,Bath,SC
BTR,Baton Rouge,LA
QBN,Batson,TX
AFV,Battenville,NY
BTL,Battle Creek,MI
BN9,Battle Ground,IN
BRU,Battle Ground,WA
BAM,Battle Mountain,NV
BBO,Battleboro,NC
TVW,Battletown,KY
BDE,Baudette,MN
BXT,Bauxite,AR
BYX,Baxley,GA
AXQ,Baxter,IA
AXT,Baxter,MN
BXR,Baxter,TN
BSG,Baxter Springs,KS
BCY,Bay City,MI
YIY,Bay City,OR
BBC,Bay City,TX
YBZ,Bay City,WI
MBS,Bay City-Saginaw-Midland Apt,MI
BH9,Bay Harbor Islands,FL
982,Bay Head,NJ
BY9,Bay Lake,FL
BYT,Bay Meadows,GA
BME,Bay Minette,AL
ZA3,Bay Point,CA
